Date,F/R,S/R,City
2016-07-22,84,61,Shillong
2016-07-21,52,83,Shillong
2016-07-20,82,94,Shillong
2016-07-19,64,62,Shillong
2016-07-18,64,51,Shillong
2016-07-16,72,38,Shillong
2016-07-15,52,8,Shillong
2016-07-14,73,24,Shillong
2016-07-12,59,19,Shillong
2016-07-11,3,67,Shillong
2016-07-09,42,38,Shillong
2016-07-08,73,85,Shillong
2016-07-07,6,2,Shillong
2016-07-06,54,35,Shillong
2016-07-05,74,75,Shillong
2016-07-04,84,74,Shillong
2016-07-02,73,87,Shillong
2016-07-01,50,12,Shillong
2016-06-30,22,82,Shillong
2016-06-29,13,68,Shillong
2016-06-28,30,32,Shillong
2016-06-27,90,27,Shillong
2016-06-25,15,99,Shillong
2016-06-24,32,42,Shillong
2016-06-23,35,60,Shillong
2016-06-22,99,77,Shillong
2016-06-21,10,56,Shillong
2016-06-20,14,25,Shillong
2016-06-18,94,33,Shillong
2016-06-17,63,33,Shillong
2016-06-16,99,26,Shillong
2016-06-15,11,11,Shillong
2016-06-14,67,96,Shillong
2016-06-13,63,6,Shillong
2016-06-09,56,87,Shillong
2016-06-08,97,13,Shillong
2016-06-07,41,92,Shillong
2016-06-06,47,80,Shillong
2016-06-04,26,40,Shillong
2016-06-03,36,9,Shillong
2016-06-02,31,51,Shillong
2016-06-01,45,89,Shillong
2016-05-31,68,77,Shillong
2016-05-30,34,25,Shillong
2016-05-28,85,23,Shillong
2016-05-27,60,84,Shillong
2016-05-26,62,1,Shillong
2016-05-25,30,48,Shillong
2016-05-24,69,38,Shillong
2016-05-23,77,35,Shillong
2016-05-21,88,64,Shillong
2016-05-20,76,86,Shillong
2016-05-19,99,64,Shillong
2016-05-18,9,48,Shillong
2016-05-17,31,26,Shillong
2016-05-16,84,72,Shillong
2016-05-14,45,83,Shillong
2016-05-13,71,72,Shillong
2016-05-12,75,2,Shillong
2016-05-11,36,41,Shillong
2016-05-10,2,64,Shillong
2016-05-09,38,50,Shillong
